,UT,0,1,2
141,2-S2.0-84901641331,0.5011067903358721,0.11305886298305422,0.11779142617504758
142,2-S2.0-84949538800,1.0,2.514560369775147e-309,2.117907918020717e-309
143,2-S2.0-84990178122,0.8222355993704841,0.09363812306285714,0.08412627756665879
144,2-S2.0-84891826221,1.0,2.510153333091733e-309,2.133804996216747e-309
145,2-S2.0-85019313236,0.9289145845463924,0.03898733271461703,0.03209808273899068
146,2-S2.0-84949623868,0.9375473359919234,0.03262813989905784,0.029824524109018726
147,2-S2.0-84860218185,1.0,2.707205416399994e-309,2.336354165579597e-309
148,2-S2.0-53249151613,1.0,2.566856357052037e-309,2.14290324483193e-309
149,2-S2.0-85078149712,1.0,2.53609141128429e-309,2.067327069224834e-309
150,2-S2.0-0037409350,0.8689834467059909,0.0670938361619254,0.06392271713208371
151,2-S2.0-85014914756,0.9105099618767665,0.05030804620226592,0.03918199192096758
152,2-S2.0-85028977168,0.49957569450967365,0.11241534959650318,0.11746087060402587
153,2-S2.0-85079606880,0.04649464089799659,0.036483025168681085,0.9170223339333223
154,2-S2.0-85025605909,0.13427365909862454,0.2770764652199521,0.07283613889686633
155,2-S2.0-84860213981,0.9004736573533468,0.05463647805619684,0.04488986459045632
156,2-S2.0-84875209377,0.8644808645259752,0.07670364553284965,0.05881548994117512
157,2-S2.0-85054051360,0.8735171088059919,0.06983063185880167,0.056652259335206526
158,2-S2.0-84935033236,0.9321513734299808,0.036924085766403505,0.030924540803615765
159,2-S2.0-33847693964,0.5129490021483101,0.11293112739782223,0.11773892590829059
160,2-S2.0-84947496055,0.13322523508208808,0.11601891915929269,0.37426471249591037
161,2-S2.0-85065542893,0.8143537630578837,0.10886033837822315,0.07678589856389309
162,2-S2.0-84896490515,0.7469021109705151,0.11993908670911606,0.11480652933967701
163,2-S2.0-85015371455,0.9170870492406279,0.04384292544341218,0.03907002531595994
164,2-S2.0-0034073580,0.10130227995182121,0.08501486736381698,0.68199940574105
165,2-S2.0-85045791839,0.10607267049250967,0.09257276206542853,0.6261026832580849
166,2-S2.0-84953839727,0.9311705045391385,0.03637777812376088,0.03245171733710057
167,2-S2.0-84957440491,1.0,2.51872693591061e-309,2.03951997993166e-309
168,2-S2.0-84921792872,1.0,2.77024193909691e-309,2.30663665231112e-309
169,2-S2.0-84924944272,0.0730165232461315,0.06078072747966525,0.7840359172315154
170,2-S2.0-85078257663,0.9516250912465053,0.02702481968152669,0.021350089071968014
171,2-S2.0-85045695678,1.0,2.492392045152716e-309,2.072132815561987e-309
172,2-S2.0-85074200815,1.0,2.51432536539311e-309,2.174474464557175e-309
173,2-S2.0-85090561673,1.0,2.49308189865832e-309,2.152889928041923e-309
174,2-S2.0-85030851915,0.8187368244413176,0.09198118525134606,0.08928199030733625
175,2-S2.0-84874331265,0.9696356972107942,0.016896526554730305,0.01346777623447539
176,2-S2.0-85058213417,0.9048302087229216,0.05089998398761781,0.044269807289460596
177,2-S2.0-57349198826,0.03801316079340173,0.03044038091933304,0.9315464582872652
178,2-S2.0-33751295300,0.007692694991622545,0.00623960549078228,0.9860676995175951
179,2-S2.0-84858316764,0.8816621935836918,0.06370763119839598,0.05463017521791229
180,2-S2.0-78149483899,0.1317529133316008,0.11716090404479088,0.42733561446721874
181,2-S2.0-84959560409,1.0,2.50724351467255e-309,2.11615903137977e-309
182,2-S2.0-79951841060,0.4919376365064272,0.11251637182782562,0.11757257057451626
183,2-S2.0-0029378748,0.1253903951484406,0.1075388355160931,0.5100172778589896
184,2-S2.0-33645142548,0.1317011006015912,0.11566996902610584,0.43879310051871373
